scenario,metric,value,unit
seed,seed,4116,count
started_at,started_at,2026-06-26T15:56:58Z,text
repeats,repeats,5,count
fault_scenarios.duplicate_callback,requests,5,count
fault_scenarios.duplicate_callback,duplicates_reported,4,count
fault_scenarios.duplicate_callback,final_gold,7,count
fault_scenarios.duplicate_callback,business_effect_count,1,count
fault_scenarios.publish_no_ack,duplicate_events_before,0,count
fault_scenarios.publish_no_ack,duplicate_events_after,1,count
fault_scenarios.publish_no_ack,transport_duplicate_observed,True,bool
fault_scenarios.publish_no_ack,outbox_pending_after,0,count
fault_scenarios.publish_no_ack,outbox_attempts_total,8003,count
fault_scenarios.pubsub_loss,delivered_to_late_subscriber,False,bool
fault_scenarios.cache_stale,actual_gold,150,count
fault_scenarios.cache_stale,cached_gold,100,count
fault_scenarios.cache_stale,stale,True,bool
fault_scenarios.saga,saga_completed,1,count
fault_scenarios.saga,saga_compensated,1,count
fault_scenarios.saga,saga_duration_avg_ms,22.0655,ms
fault_scenarios.saga,saga_duration_p95_ms,23.32505,ms
fault_scenarios.websocket_replay,received,3,count
final_metrics,chat_messages,8000,count
final_metrics,chat_stream_len,8000,count
final_metrics,inbox_count,16003,count
final_metrics,outbox_attempts_total,8005,count
final_metrics,outbox_max_age_ms,0,ms
final_metrics,outbox_oldest_pending_ms,0,ms
final_metrics,outbox_pending,0,count
final_metrics,outbox_published,8004,count
final_metrics,redis_duplicate_events,1,count
final_metrics,redis_stream_len,8005,count
final_metrics,redis_unique_events,8004,count
final_metrics,saga_compensated,1,count
final_metrics,saga_completed,1,count
final_metrics,saga_duration_avg_ms,22.0655,ms
final_metrics,saga_duration_p95_ms,23.32505,ms
final_metrics,transport_duplicate_observed,True,bool
