scenario,load,repeat,count,p50_ms,p95_ms,p99_ms,throughput_rps,error_count,error_rate,outbox_pending_after,outbox_oldest_pending_ms_after
Синхронная транзакция,100,1,100,0.577,0.82005,1.5291000000000041,624.9912829422826,0,0.0,,
Outbox-транзакция,100,1,100,0.616,1.0032999999999999,1.7450300000000074,599.0681837009275,0,0.0,0,0.0
Доставка сообщений чата через Pub/Sub,100,1,100,0.3855,0.8398499999999999,1.6766200000000135,680.1415967088333,0,0.0,,
Синхронная транзакция,100,2,100,0.5175000000000001,0.7553499999999997,0.8574000000000043,687.6674776860372,0,0.0,,
Outbox-транзакция,100,2,100,0.5994999999999999,0.92755,1.2567700000000055,566.5490156350252,0,0.0,0,0.0
Доставка сообщений чата через Pub/Sub,100,2,100,0.619,1.3176499999999998,1.9502900000000052,424.4520927088383,0,0.0,,
Синхронная транзакция,100,3,100,0.6154999999999999,1.1042500000000002,1.3672800000000003,506.3266934579462,0,0.0,,
Outbox-транзакция,100,3,100,0.613,0.9242,1.0058400000000014,511.11714994242124,0,0.0,0,0.0
Доставка сообщений чата через Pub/Sub,100,3,100,0.5305,0.93225,1.496520000000005,526.6037399464144,0,0.0,,
Синхронная транзакция,100,4,100,0.5954999999999999,0.9967499999999998,1.2254400000000003,558.7309706880658,0,0.0,,
Outbox-транзакция,100,4,100,0.624,0.9097499999999998,1.0361200000000002,637.2317523210784,0,0.0,0,0.0
Доставка сообщений чата через Pub/Sub,100,4,100,0.5535000000000001,0.8931,1.1022800000000037,502.6495645577448,0,0.0,,
Синхронная транзакция,100,5,100,0.55,1.1023999999999996,1.8633500000000032,545.971248119048,0,0.0,,
Outbox-транзакция,100,5,100,0.6114999999999999,0.9224,1.0700100000000135,606.4279011799474,0,0.0,0,0.0
Доставка сообщений чата через Pub/Sub,100,5,100,0.639,1.0207,1.316260000000003,436.97312299578897,0,0.0,,
Синхронная транзакция,500,1,500,0.529,0.9073999999999998,1.3516799999999976,558.0769057796557,0,0.0,,
Outbox-транзакция,500,1,500,0.5874999999999999,1.0029999999999992,1.3862199999999998,536.9219066950103,0,0.0,0,0.0
Доставка сообщений чата через Pub/Sub,500,1,500,0.356,0.737,1.1873599999999997,660.3614122459982,0,0.0,,
Синхронная транзакция,500,2,500,0.5525,0.9611999999999998,1.2664399999999987,551.9598153950622,0,0.0,,
Outbox-транзакция,500,2,500,0.622,1.0677999999999994,2.520679999999999,516.2318153476386,0,0.0,0,0.0
Доставка сообщений чата через Pub/Sub,500,2,500,0.371,0.6511499999999999,1.1071499999999992,695.2428217320403,0,0.0,,
Синхронная транзакция,500,3,500,0.527,0.8581999999999999,1.2550499999999989,644.4587783704949,0,0.0,,
Outbox-транзакция,500,3,500,0.599,1.0830499999999998,1.7634899999999993,605.9733604869858,0,0.0,0,0.0
Доставка сообщений чата через Pub/Sub,500,3,500,0.357,0.6274499999999996,0.8114799999999996,683.0319731549132,0,0.0,,
Синхронная транзакция,500,4,500,0.508,0.7771999999999999,1.0846399999999994,602.1339896510517,0,0.0,,
Outbox-транзакция,500,4,500,0.6225,1.0763999999999998,1.461469999999997,566.6652075487196,0,0.0,0,0.0
Доставка сообщений чата через Pub/Sub,500,4,500,0.3885,0.7215999999999995,1.0302899999999988,653.3727260180208,0,0.0,,
Синхронная транзакция,500,5,500,0.526,0.88005,1.2587199999999983,562.6835565033401,0,0.0,,
Outbox-транзакция,500,5,500,0.601,1.0628499999999992,1.5374199999999993,597.915288643569,0,0.0,0,0.0
Доставка сообщений чата через Pub/Sub,500,5,500,0.3815,0.7488999999999982,1.1405799999999993,677.4543260254112,0,0.0,,
Синхронная транзакция,1000,1,1000,0.514,0.772,1.2744899999999995,587.0069810140658,0,0.0,,
Outbox-транзакция,1000,1,1000,0.616,0.9762499999999997,1.3272399999999998,533.7386432873677,0,0.0,0,0.0
Доставка сообщений чата через Pub/Sub,1000,1,1000,0.345,0.5912999999999997,0.8736999999999994,689.360328528541,0,0.0,,
Синхронная транзакция,1000,2,1000,0.7275,1.094,1.6294499999999996,486.37421777294094,0,0.0,,
Outbox-транзакция,1000,2,1000,0.828,1.1982999999999997,1.8910999999999998,431.7558197372019,0,0.0,0,0.0
Доставка сообщений чата через Pub/Sub,1000,2,1000,0.389,0.9634999999999977,1.8762699999999997,594.7509728167174,0,0.0,,
Синхронная транзакция,1000,3,1000,0.556,0.9484499999999995,1.27904,556.7435755133941,0,0.0,,
Outbox-транзакция,1000,3,1000,0.695,1.1680499999999998,1.9495799999999996,468.5798846778222,0,0.0,0,0.0
Доставка сообщений чата через Pub/Sub,1000,3,1000,0.4525,0.8262499999999997,1.4072599999999986,578.9140392904249,0,0.0,,
Синхронная транзакция,1000,4,1000,0.607,1.3713499999999996,2.70424,499.50101155319027,0,0.0,,
Outbox-транзакция,1000,4,1000,0.8254999999999999,1.24305,1.7055499999999977,457.5674579442637,0,0.0,0,0.0
Доставка сообщений чата через Pub/Sub,1000,4,1000,0.449,0.7980499999999999,1.2151299999999998,607.5470883670697,0,0.0,,
Синхронная транзакция,1000,5,1000,0.7995000000000001,1.30805,1.8512899999999997,415.3396779776305,0,0.0,,
Outbox-транзакция,1000,5,1000,0.834,1.42705,1.8760899999999998,437.26836959614195,0,0.0,0,0.0
Доставка сообщений чата через Pub/Sub,1000,5,1000,0.512,1.1974499999999997,3.2259999999999915,526.2870355185378,0,0.0,,
